kernel_name,source,category,complexity,class,implemented,verified,notes
k_matmul,llamatov,BLAS-L3,high,matmul,yes,yes,Basic GEMM F32
k_matmul_opt,llamatov,BLAS-L3,high,matmul,yes,yes,Tiled shared-memory GEMM
k_vecmat,llamatov,BLAS-L2,medium,matmul,yes,yes,M=1 decode vecmat (cuBLAS-parity)
k_dp4a,llamatov,BLAS-L2,high,matmul,yes,yes,INT8 dp4a vecmat (BEATS cuBLAS 1.12-1.87x)
k_relu,llamatov,elementwise,trivial,activation,yes,yes,ReLU activation
k_silu,llamatov,elementwise,trivial,activation,yes,yes,SiLU/swish activation
k_gelu_tanh,llamatov,elementwise,trivial,activation,yes,yes,GELU tanh approximation (ggml_gelu / Ollama runtime / HF gelu_new); cell [2]+[3] verified on Tesla P4 across 6 sizes; cross-axis max ULP 7-188
k_gelu_erf,llamatov,elementwise,trivial,activation,yes,yes,GELU exact erf form (ggml_gelu_erf / F.gelu(none) / HF gelu default); cell [2]+[3] verified on Tesla P4 across 6 sizes; cross-axis max ULP 374-8050
k_tanh,llamatov,elementwise,trivial,activation,yes,yes,Tanh activation
k_sigmoid,llamatov_bpd,elementwise,trivial,activation,yes,yes,Sigmoid (BPD-emitted); cell [2]+[3] verified on Tesla P4 across 6 sizes; cross-axis --ulp 2 MATCH
k_add,llamatov,elementwise,trivial,arithmetic,yes,yes,Element-wise addition
k_mul,llamatov,elementwise,trivial,arithmetic,yes,yes,Element-wise multiplication
k_scale,llamatov,elementwise,trivial,arithmetic,yes,yes,Scalar multiplication
k_rms_norm,llamatov,normalization,medium,normalization,yes,yes,RMS normalization (matches CPU to 3e-6)
k_layer_norm,llamatov,normalization,medium,normalization,yes,yes,Layer normalization with bias
k_softmax,llamatov,reduction,medium,reduction,yes,yes,Row-wise softmax
k_argmax,llamatov,reduction,low,reduction,yes,yes,Argmax over logits
k_embed_lookup,llamatov,gather,low,embedding,yes,yes,Token embedding table lookup
k_rope,llamatov,spatial,medium,positional,yes,yes,Rotary position embedding (Q+K)
k_rope_k,llamatov,spatial,medium,positional,yes,yes,RoPE for K heads separately
k_causal_mask,llamatov,spatial,low,attention,yes,yes,Upper-triangular causal mask
k_kv_attention,llamatov,attention,high,attention,yes,yes,Single-token decode attention with KV cache
k_kv_store,llamatov,memory,low,kv_cache,yes,yes,Append K/V to cache at position
k_gqa_expand,llamatov,layout,low,attention,yes,yes,GQA key/value head expansion
k_vecmat_silu,llamatov_bpd,fused,medium,fused_matmul,yes,compiles,Fused vecmat + SiLU (BPD-generated)
k_vecmat_gelu,llamatov_bpd,fused,medium,fused_matmul,yes,compiles,Fused vecmat + GELU (BPD-generated)
k_vecmat_relu,llamatov_bpd,fused,medium,fused_matmul,yes,compiles,Fused vecmat + ReLU (BPD-generated)
ggml_sub,llama.cpp,elementwise,trivial,arithmetic,classified,no,Subtraction
ggml_div,llama.cpp,elementwise,trivial,arithmetic,classified,no,Division
ggml_sqr,llama.cpp,elementwise,trivial,arithmetic,classified,no,Square
ggml_sqrt,llama.cpp,elementwise,trivial,arithmetic,classified,no,Square root
ggml_exp,llama.cpp,elementwise,trivial,arithmetic,classified,no,Exponential
ggml_log,llama.cpp,elementwise,trivial,arithmetic,classified,no,Natural log
ggml_neg,llama.cpp,elementwise,trivial,arithmetic,classified,no,Negation
ggml_abs,llama.cpp,elementwise,trivial,arithmetic,classified,no,Absolute value
ggml_clamp,llama.cpp,elementwise,trivial,arithmetic,classified,no,Clamp to range
ggml_softplus,llama.cpp,elementwise,trivial,activation,classified,no,Softplus
ggml_leaky_relu,llama.cpp,elementwise,trivial,activation,classified,no,Leaky ReLU
ggml_selu,llama.cpp,elementwise,trivial,activation,classified,no,SELU
ggml_elu,llama.cpp,elementwise,trivial,activation,classified,no,ELU
ggml_hardsigmoid,llama.cpp,elementwise,trivial,activation,classified,no,Hard sigmoid
ggml_softsign,llama.cpp,elementwise,trivial,activation,classified,no,Softsign
ggml_xielu,llama.cpp,elementwise,trivial,activation,classified,no,xielu variant
ggml_swiglu_split,llama.cpp,elementwise,low,activation,classified,no,SwiGLU split
ggml_l2_norm,llama.cpp,normalization,medium,normalization,classified,no,L2 normalization
ggml_group_norm,llama.cpp,normalization,medium,normalization,classified,no,Group normalization
ggml_sum_rows,llama.cpp,reduction,low,reduction,classified,no,Row-wise sum
ggml_mean,llama.cpp,reduction,low,reduction,classified,no,Mean reduction
ggml_cumsum,llama.cpp,reduction,low,reduction,classified,no,Cumulative sum
ggml_cumprod,llama.cpp,reduction,low,reduction,classified,no,Cumulative product
ggml_max,llama.cpp,reduction,low,reduction,classified,no,Max reduction
ggml_min,llama.cpp,reduction,low,reduction,classified,no,Min reduction
ggml_argmin,llama.cpp,reduction,low,reduction,classified,no,Argmin
ggml_log_soft_max,llama.cpp,reduction,medium,reduction,classified,no,Log softmax
ggml_mse_loss,llama.cpp,reduction,low,loss,classified,no,MSE loss
ggml_cross_entropy_loss,llama.cpp,reduction,medium,loss,classified,no,Cross-entropy loss
ggml_huber_loss,llama.cpp,reduction,low,loss,classified,no,Huber loss
ggml_kl_div_loss,llama.cpp,reduction,medium,loss,classified,no,KL divergence loss
ggml_triplet_margin_loss,llama.cpp,reduction,medium,loss,classified,no,Triplet margin loss
ggml_hinge_loss,llama.cpp,reduction,low,loss,classified,no,Hinge loss
ggml_conv_1d,llama.cpp,spatial,high,convolution,classified,no,1D convolution
ggml_conv_2d,llama.cpp,spatial,high,convolution,classified,no,2D convolution
ggml_conv_3d,llama.cpp,spatial,very_high,convolution,classified,no,3D convolution
ggml_conv_1d_dw_ph,llama.cpp,spatial,medium,convolution,classified,no,1D depthwise conv
ggml_conv_transpose_1d,llama.cpp,spatial,high,convolution,classified,no,1D transposed conv
ggml_conv_transpose_2d,llama.cpp,spatial,high,convolution,classified,no,2D transposed conv
ggml_conv_transpose_3d,llama.cpp,spatial,very_high,convolution,classified,no,3D transposed conv
ggml_pool_1d,llama.cpp,spatial,medium,pooling,classified,no,1D pooling
ggml_pool_2d,llama.cpp,spatial,medium,pooling,classified,no,2D pooling
ggml_pool_3d,llama.cpp,spatial,high,pooling,classified,no,3D pooling
ggml_rope_ext,llama.cpp,spatial,medium,positional,classified,no,Extended RoPE
ggml_rope_multi,llama.cpp,spatial,high,positional,classified,no,Multi-RoPE
ggml_ssm_conv,llama.cpp,ssm,high,state_space,classified,no,Mamba SSM convolution
ggml_ssm_scan,llama.cpp,ssm,very_high,state_space,classified,no,Mamba SSM scan
ggml_rwkv_wkv6,llama.cpp,rwkv,very_high,recurrent,classified,no,RWKV-6 WKV
ggml_rwkv_wkv7,llama.cpp,rwkv,very_high,recurrent,classified,no,RWKV-7 WKV
ggml_flash_attn_ext,llama.cpp,attention,very_high,attention,classified,no,Flash attention
ggml_gated_linear_attn,llama.cpp,attention,high,attention,classified,no,Gated linear attention
build_lora_mm,llama.cpp,BLAS-L3,high,matmul,classified,no,LoRA matmul
sgemm,cuBLAS,BLAS-L3,reference,matmul,baseline,baseline,F32 GEMM (reference)
dgemm,cuBLAS,BLAS-L3,reference,matmul,baseline,baseline,F64 GEMM
hgemm,cuBLAS,BLAS-L3,reference,matmul,baseline,baseline,F16 GEMM
igemm,cuBLAS,BLAS-L3,reference,matmul,baseline,baseline,INT8 GEMM
sgemv,cuBLAS,BLAS-L2,reference,matmul,baseline,baseline,F32 GEMV (our decode target)
saxpy,cuBLAS,BLAS-L1,reference,arithmetic,baseline,baseline,y = ax + y
sdot,cuBLAS,BLAS-L1,reference,arithmetic,baseline,baseline,Dot product
snrm2,cuBLAS,BLAS-L1,reference,reduction,baseline,baseline,L2 norm
sscal,cuBLAS,BLAS-L1,reference,arithmetic,baseline,baseline,Scalar multiply
strsv,cuBLAS,BLAS-L2,reference,linear_solve,baseline,baseline,Triangular solve
ssyrk,cuBLAS,BLAS-L3,reference,matmul,baseline,baseline,Symmetric rank-k
flash_attention,FlashAttention,attention,very_high,attention,reference,reference,Fused QKV attention (Tri Dao)
flash_attention_2,FlashAttention-2,attention,very_high,attention,reference,reference,Online softmax + tiling
flash_attention_3,FlashAttention-3,attention,very_high,attention,reference,reference,H100-optimized
thunderkittens_gemm,ThunderKittens,BLAS-L3,very_high,matmul,reference,reference,DSL-generated GEMM
thunderkittens_attn,ThunderKittens,attention,very_high,attention,reference,reference,DSL-generated attention
cutlass_gemm,CUTLASS,BLAS-L3,very_high,matmul,reference,reference,Template GEMM
cutlass_conv2d,CUTLASS,spatial,very_high,convolution,reference,reference,Template Conv2D
triton_matmul,Triton,BLAS-L3,high,matmul,reference,reference,Triton GEMM tutorial
triton_softmax,Triton,reduction,medium,reduction,reference,reference,Triton fused softmax
triton_flash_attn,Triton,attention,very_high,attention,reference,reference,Triton flash attention
triton_layer_norm,Triton,normalization,medium,normalization,reference,reference,Triton layer norm
KB_L1_matmul,KernelBench-L1,BLAS-L3,low,matmul,benchmark,benchmark,Single matmul
KB_L1_conv2d,KernelBench-L1,spatial,medium,convolution,benchmark,benchmark,Single conv2d
KB_L1_relu,KernelBench-L1,elementwise,trivial,activation,benchmark,benchmark,Single ReLU
KB_L1_batchnorm,KernelBench-L1,normalization,medium,normalization,benchmark,benchmark,Batch normalization
KB_L1_maxpool,KernelBench-L1,spatial,low,pooling,benchmark,benchmark,Max pooling
KB_L1_avgpool,KernelBench-L1,spatial,low,pooling,benchmark,benchmark,Average pooling
KB_L1_dropout,KernelBench-L1,elementwise,low,regularization,benchmark,benchmark,Dropout
KB_L1_softmax,KernelBench-L1,reduction,medium,reduction,benchmark,benchmark,Softmax
KB_L1_cross_entropy,KernelBench-L1,reduction,medium,loss,benchmark,benchmark,Cross entropy
KB_L1_linear,KernelBench-L1,BLAS-L3,medium,matmul,benchmark,benchmark,Linear (matmul + bias)
KB_L2_conv_bn_relu,KernelBench-L2,fused,medium,fused_conv,benchmark,benchmark,Conv + BatchNorm + ReLU
KB_L2_linear_relu,KernelBench-L2,fused,low,fused_matmul,benchmark,benchmark,Linear + ReLU
KB_L2_matmul_add,KernelBench-L2,fused,low,fused_matmul,benchmark,benchmark,MatMul + Add (residual)
KB_L2_layernorm_linear,KernelBench-L2,fused,medium,fused_norm,benchmark,benchmark,LayerNorm + Linear
KB_L3_mobilenet,KernelBench-L3,architecture,very_high,full_model,benchmark,benchmark,Full MobileNet
KB_L3_vgg,KernelBench-L3,architecture,very_high,full_model,benchmark,benchmark,Full VGG
KB_L3_resnet,KernelBench-L3,architecture,very_high,full_model,benchmark,benchmark,Full ResNet
KB_L3_minigpt,KernelBench-L3,architecture,very_high,full_model,benchmark,benchmark,Full MiniGPT
KB_L3_bert,KernelBench-L3,architecture,very_high,full_model,benchmark,benchmark,Full BERT
radix_sort,crypto/HPC,sorting,high,sorting,external,no,GPU radix sort (used in crypto mining)
prefix_scan,crypto/HPC,reduction,medium,scan,external,no,Parallel prefix scan/sum
histogram,CV/HPC,reduction,medium,histogram,external,no,GPU histogram
scatter_gather,HPC,memory,medium,memory,external,no,Scatter/gather operations
sparse_mv,HPC,BLAS-L2,high,sparse,external,no,Sparse matrix-vector multiply
fft_1d,signal,transform,high,transform,external,no,1D FFT on GPU
fft_2d,signal,transform,very_high,transform,external,no,2D FFT on GPU
stencil_2d,physics,spatial,medium,stencil,external,no,2D stencil computation
nbody,physics,spatial,high,simulation,external,no,N-body gravitational
particle_grid,physics,spatial,high,simulation,external,no,Particle-to-grid (MPM)
ray_triangle,graphics,spatial,medium,intersection,external,no,Ray-triangle intersection
rasterize,graphics,spatial,very_high,rendering,external,no,GPU rasterization
texture_sample,graphics,spatial,medium,sampling,external,no,Texture sampling/filtering
sha256,crypto,bitwise,medium,hash,external,no,SHA-256 hash kernel
ethash,crypto,bitwise,high,hash,external,no,Ethash mining kernel
im2col,CV,layout,medium,convolution,external,no,Image-to-column for conv
roi_pool,CV,spatial,medium,detection,external,no,Region of interest pooling
nms,CV,reduction,medium,detection,external,no,Non-maximum suppression
bilinear_interp,CV,spatial,low,interpolation,external,no,Bilinear interpolation
warp_affine,CV,spatial,medium,transform,external,no,Affine image warp
bfs,Rodinia,graph,medium,traversal,external,no,Breadth-first search on GPU
backprop,Rodinia,neural,medium,training,external,no,Backpropagation neural network
cfd,Rodinia,physics,high,simulation,external,no,Computational fluid dynamics
gaussian,Rodinia,BLAS-L3,medium,linear_solve,external,no,Gaussian elimination
heartwall,Rodinia,CV,high,tracking,external,no,Heart wall tracking (medical imaging)
hotspot,Rodinia,physics,medium,stencil,external,no,Thermal simulation hotspot
kmeans,Rodinia,clustering,medium,clustering,external,no,K-means clustering
lavaMD,Rodinia,physics,high,simulation,external,no,Molecular dynamics (Lennard-Jones)
lud,Rodinia,BLAS-L3,high,linear_solve,external,no,LU decomposition
needle,Rodinia,bioinformatics,medium,alignment,external,no,Needleman-Wunsch sequence alignment
nn,Rodinia,spatial,low,nearest_neighbor,external,no,Nearest neighbor search
pathfinder,Rodinia,graph,medium,dynamic_prog,external,no,Pathfinder (dynamic programming)
srad,Rodinia,CV,medium,filtering,external,no,Speckle reducing anisotropic diffusion
streamcluster,Rodinia,clustering,high,clustering,external,no,Online stream clustering
spmv,Parboil,BLAS-L2,high,sparse,external,no,Sparse matrix-vector multiply
stencil_3d,Parboil,physics,high,stencil,external,no,3D stencil computation
tpacf,Parboil,astronomy,high,correlation,external,no,Two-point angular correlation
mri_gridding,Parboil,medical,high,interpolation,external,no,MRI gridding reconstruction
mri_q,Parboil,medical,medium,transform,external,no,MRI Q matrix computation
histo,Parboil,reduction,medium,histogram,external,no,Histogram computation
sad,Parboil,CV,medium,matching,external,no,Sum of absolute differences
md5,crypto,bitwise,medium,hash,external,no,MD5 hash kernel
blake2b,crypto,bitwise,medium,hash,external,no,BLAKE2b hash kernel
equihash,crypto,bitwise,very_high,hash,external,no,Equihash proof-of-work
scan_exclusive,CUB,reduction,medium,scan,external,no,Exclusive prefix scan
scan_inclusive,CUB,reduction,medium,scan,external,no,Inclusive prefix scan
reduce_sum,CUB,reduction,low,reduction,external,no,Sum reduction
reduce_max,CUB,reduction,low,reduction,external,no,Max reduction
select_if,CUB,memory,medium,selection,external,no,Conditional selection (filter)
unique,CUB,memory,medium,dedup,external,no,Remove consecutive duplicates
merge_sort,CUB,sorting,high,sorting,external,no,GPU merge sort
run_length_encode,CUB,reduction,medium,encoding,external,no,Run-length encoding
batch_gemm,cuBLAS,BLAS-L3,high,matmul,baseline,baseline,Batched GEMM
symm,cuBLAS,BLAS-L3,high,matmul,baseline,baseline,Symmetric matrix multiply
trmm,cuBLAS,BLAS-L3,high,matmul,baseline,baseline,Triangular matrix multiply
sger,cuBLAS,BLAS-L2,medium,outer_product,baseline,baseline,Rank-1 update (outer product)
deformable_conv,CV,spatial,very_high,convolution,external,no,Deformable convolution
grid_sample,CV,spatial,medium,interpolation,external,no,Grid sampling (STN)
focal_loss,CV,reduction,medium,loss,external,no,Focal loss (RetinaNet)
anchor_gen,CV,spatial,low,detection,external,no,Anchor box generation
depth_to_space,CV,layout,low,reshape,external,no,Depth to space rearrangement
batch_norm_train,CV,normalization,medium,normalization,external,no,BatchNorm with running stats
instance_norm,CV,normalization,medium,normalization,external,no,Instance normalization
spectral_norm,CV,normalization,high,normalization,external,no,Spectral normalization
weight_norm,CV,normalization,medium,normalization,external,no,Weight normalization
multi_head_attn,transformer,attention,high,attention,external,no,Multi-head attention (unfused)
rotary_embed,transformer,spatial,medium,positional,external,no,Rotary position embedding
alibi,transformer,spatial,low,positional,external,no,ALiBi position bias
kv_cache_paged,transformer,memory,high,kv_cache,external,no,Paged KV cache (vLLM)
top_k_sampling,transformer,reduction,medium,sampling,external,no,Top-k token sampling
top_p_sampling,transformer,reduction,medium,sampling,external,no,Nucleus (top-p) sampling
quantize_int8,quantization,elementwise,low,quantization,external,no,FP32 to INT8 quantization
dequantize_int8,quantization,elementwise,low,quantization,external,no,INT8 to FP32 dequantization
quantize_fp16,quantization,elementwise,trivial,quantization,external,no,FP32 to FP16 cast
mixed_precision_gemm,quantization,BLAS-L3,high,matmul,external,no,FP16 input / FP32 accumulate GEMM
vectorAdd,CUDA-samples,elementwise,trivial,arithmetic,external,no,Vector addition (intro)
matrixMul,CUDA-samples,BLAS-L3,medium,matmul,external,no,Matrix multiply (shared memory)
matrixMulCUBLAS,CUDA-samples,BLAS-L3,medium,matmul,external,no,cuBLAS GEMM wrapper
reduction,CUDA-samples,reduction,medium,reduction,external,no,Parallel sum reduction (7 variants)
scan,CUDA-samples,reduction,medium,scan,external,no,Parallel prefix sum
transpose,CUDA-samples,layout,medium,transpose,external,no,Matrix transpose (coalesced)
histogram,CUDA-samples,reduction,medium,histogram,external,no,GPU histogram (64/256 bin)
convolutionSeparable,CUDA-samples,spatial,medium,convolution,external,no,Separable 2D convolution
convolutionFFT,CUDA-samples,spatial,high,convolution,external,no,FFT-based convolution
recursiveGaussian,CUDA-samples,spatial,medium,filtering,external,no,Recursive Gaussian filter
bilateralFilter,CUDA-samples,spatial,medium,filtering,external,no,Bilateral edge-preserving filter
boxFilter,CUDA-samples,spatial,low,filtering,external,no,Box filter (moving average)
dct8x8,CUDA-samples,transform,medium,transform,external,no,Discrete cosine transform 8x8
eigenvalues,CUDA-samples,BLAS-L3,high,linear_solve,external,no,Eigenvalue computation
conjugateGradient,CUDA-samples,BLAS-L2,high,linear_solve,external,no,Conjugate gradient solver
sortingNetworks,CUDA-samples,sorting,medium,sorting,external,no,Bitonic/odd-even merge sort
